index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town
1,Pâtisserie du Boulevard,Pâtisseries,"4,2 (121)",508,+596 596 73 73 33,N/A,"23 boulevard du général de gaule, 23, Bd Général de Gaulle",Fort-de-France
2,Pâtisserie SURENA Fort-de-France,Pâtisserie,"4,4 (102)",449,+596 596 70 28 42,patisserie-surena.fr,83 Rue Victor Hugo,Fort-de-France
3,La Goutte d'Or Pâtisserie Fort-de-France,Pâtisserie,"4,3 (48)",206,+596 696 16 25 80,instagram.com,Rue Gaston Defferre,Fort-de-France
4,Au Régal De Didier,Boulangerie,"4,1 (105)",430,+596 596 63 00 36,auregaldedidier-patisserie-traiteur.fr,2 Rte de Cluny,Fort-de-France
5,La Fée SYLDA FORT-DE-FRANCE,Boulangerie,"4,0 (263)",1052,+596 596 50 28 65,N/A,"JX96+P6P, Rue de Morne Morissot",Fort-de-France
6,Boulangerie Le Fournil de Balata Martinique,Boulangerie,"4,0 (60)",240,+596 596 64 09 13,instagram.com,64 Rte de Balata,Fort-de-France
7,La Magit du boulanger,Boulangerie,"4,3 (54)",232,+33 5 96 39 70 66,N/A,2 Av. Louis Georges Plissonneau,Fort-de-France
8,Boulangerie Pâtisserie LEBEL,Boulangerie,"4,3 (15)",64,+596 596 71 32 50,facebook.com,"4 rue des Prés, Rue De La Clairière",Fort-de-France
9,Eclat De Mie,Boulangerie,"3,8 (38)",144,+596 596 75 16 17,N/A,HXX4+8JF,Fort-de-France
10,La Pâtisserie,Pâtisserie,"4,7 (60)",282,+596 596 71 73 80,facebook.com,"C.C. Les Boutiques du Parc de Cluny, 7 Rte de Cluny",Fort-de-France
11,Coulis de Framboise,Boulangerie,"4,1 (101)",414,+596 596 73 03 14,francetourismes.wordpress.com,"JWQV+QQ5, Roc du Bel Horizon",Fort-de-France
12,BAGUET SHOP,Boulangerie,"2,9 (35)",102,+596 596 64 97 19,baguet-shop.com,23 Rue Victor Sévère,Fort-de-France
13,Sté d'Exploitation Au Lèche Doigts-,Pâtisseries,"2,9 (12)",35,+596 596 70 11 04,leche-doigts-patisserie.fr,80 Av. Jean Jaures,Fort-de-France
14,La Magit Du Boulanger,Boulangerie,"4,2 (25)",105,+596 596 57 87 38,francetourismes.wordpress.com,147 Rte de Ravine Vilaine,Fort-de-France
15,Pâtisserie Hery,Pâtisseries,"4,7 (78)",367,+596 696 43 05 02,patisseriehery.com,136 Rue Victor Hugo,Fort-de-France
16,Le Pain des Copains Redoute,Boulangerie,"4,4 (40)",176,+596 596 56 01 42,N/A,217 Rte de Redoute,Fort-de-France
17,La Grange à Pain,Boulangerie,"3,7 (3)",11,N/A,N/A,15 Bd Général de Gaulle,Fort-de-France
18,Boulangerie-Pâtisserie La Guérande,Boulangerie,"4,3 (972)",4180,+596 596 78 25 77,boulangerielaguerande.fr,3 Ilets Village route departementale 7,Fort-de-France
19,Société Commerciale de Patisserie et Boulangerie,Boulangerie,"2,7 (3)",8,+33 5 96 79 35 79,N/A,217 Rte de Redoute,Fort-de-France
